epoch,train_loss,train_reg_loss,train_rank_loss,train_net_loss,train_soft_gross,train_soft_turnover,train_soft_downside,train_soft_net,train_soft_concentration,train_alpha_eff,train_lambda_eff,train_turnover_penalty,train_downside_penalty_weighted,valid_mse,valid_IC,valid_RIC,valid_ICIR,valid_RICIR,valid_prec_10,valid_softmax_net_sharpe,valid_softmax_avg_turnover,valid_softmax_mdd,valid_top5_net_sharpe,valid_top5_avg_turnover,valid_top5_mdd
1,24716.73528607085,24715.78218890493,4.2056737729826486,0.532218253088964,0.4637622017340583,1.3560715074384893,0.01377436743064592,0.46192391230646584,0.9941421668674495,0.6735295476140203,0.21553232863142685,0.9279202433844912,0.0013743288238584203,1439.5269298602632,0.005260651172921753,-0.012243467628837757,0.08953543208543177,-0.11418893232591655,0.49166666666666664,3.580864426675958,1.3035640297415498,-0.6952328229491009,6.088765115794925,0.9833333333333334,-0.5760199525558793
2,824.4225656167881,823.7962629178086,1.2032065610086697,0.5059831919601641,0.47305563047032323,1.3237914941234366,0.014367998510869019,0.4729645842044143,0.9789477768177922,0.1215228931323902,0.0006921686030722953,0.16128729671675915,1.0395200918949519e-05,101.15866232532899,0.00831550274985283,0.010798924186584234,0.12005401898749474,0.09836224861927834,0.49880952380952376,1.547586598196671,0.8196512213561531,-0.9138036708033597,2.397613722325746,0.730952380952381,-0.4678517257024779
3,376.0072902413639,375.41420128442144,1.092469137330615,0.48384265463950266,0.48185748708530374,1.318599737987232,0.014278701806285442,0.4817857415978456,0.9656283971727699,0.10655806257918074,0.00010112250173414075,0.1405040550682995,1.5125009524238017e-06,61.477992300908966,0.009170488780236278,-0.01938313353656156,0.14201214844438542,-0.1664871789947626,0.4972222222222223,3.0833044272473633,1.0245359686475777,-0.823247149879091,2.3610753434892704,1.069047619047619,-0.6595437289914081
4,181.80301470063827,181.2864090020592,0.7186338544735131,0.4447422908417679,0.5057925981219538,1.2458358571184414,0.0109172258877849,0.5057271485456301,0.9504694400027999,0.10373873324007601,7.254610190520416e-05,0.12923228531554273,8.339934674525437e-07,94.94775980192647,0.010283205495201233,0.013989848112513104,0.14466063896324982,0.12157017519480587,0.503968253968254,4.378862533502885,1.313745613849146,-0.6603268938692597,2.4116154378013883,1.0246031746031747,-0.5168924214391736
5,94.58951507476536,93.663615750461,0.7203740891031417,0.8538620250853333,0.08692139385704403,1.212839693754262,0.010827739287182208,0.08685859571089324,0.9407206200126156,0.10247786238386825,5.752814782632364e-05,0.12427758482630769,6.594631668358786e-07,21.256261870845204,0.01094900355727366,0.03922331144506699,0.14900776915875957,0.32899245674504196,0.5047619047619047,3.797953717778346,1.180011527140468,-0.7239766608036888,2.123021353405708,0.7976190476190477,-0.3940290993053447
6,56.46854912815867,56.00318041943215,0.36169525993912405,0.4291991569152152,0.49568023972496844,1.1983192970062475,0.00944553500984493,0.4956188154271209,0.92481797004773,0.1017894847972973,4.410969244467246e-05,0.12195870299241066,4.5793557034539326e-07,7.405751848460182,0.022096008965047403,0.04281373128034904,0.24138393308253417,0.34288559896498166,0.5218253968253969,3.2680490115659104,1.0540267046397551,-0.7328294368258768,1.9292010357606157,0.46428571428571436,-0.5314921308911339
7,37.856778771893396,37.009299478659756,0.18968181247835525,0.8285111435865228,0.10503605221672203,1.142447908954291,0.010148463992196662,0.10497799777754373,0.9334891422399999,0.10118366963154561,2.462010125856142e-05,0.11560777804486048,2.513155904380362e-07,9.220507309048976,0.0066315426127671875,0.052792746827222445,0.10647097658863824,0.4245777049582063,0.5119047619047619,-0.12517274136543385,0.3715492072528211,-0.8606740081381841,2.3449056208972308,0.4992063492063492,-0.4443403233142088
8,34.574649364481104,34.337933556735514,0.1991073677882653,0.2168051482379638,0.6842727165266509,1.1411285573983412,0.007957066595803225,0.6842150696656102,0.9010202145203948,0.10083956331820101,1.5967439960789037e-05,0.11506602364994642,1.2628446627647867e-07,7.125090091235925,0.026087828067239298,0.04761377591318771,0.3127964537785524,0.37977710296753614,0.5285714285714286,4.090751704000458,0.8568206470724594,-0.709853311409892,5.995407101628536,0.41825396825396827,-0.4796233831897997
9,18.908964491313373,18.269423783510117,0.4616952617998814,0.5933711685945053,0.2891758943345579,1.1668370554576895,0.00881595594859014,0.28911701467808504,0.8824881841604774,0.10068994470544763,1.2840129233695366e-05,0.117484344759084,1.3961517540665297e-07,1.9144628760514177,0.0311775136987868,0.03346248749385639,0.2952119077088219,0.26193473682096474,0.5182539682539683,3.347155835445309,1.1713070701171533,-0.7838326362123083,5.374211917764364,0.6150793650793651,-0.5737050700097334
10,9.97360475381484,9.328792323172092,0.24728593762863327,0.6200838554549861,0.2886145455336627,1.1326416915748247,0.007955742773909421,0.2885576593911164,0.9086415134471011,0.10040481154983108,3.6579531592291753e-06,0.1137217657173901,2.7609961368334128e-08,3.546062589031339,0.03169278916387287,0.043988173207731,0.29991925171635864,0.34869187681629454,0.5214285714285715,3.4240695113840207,0.6698885532889952,-0.7863351929432791,5.206777481039164,0.34047619047619054,-0.536573652486573
11,11.88227400896517,11.443978966289276,0.1557980998494738,0.422715230690114,0.4858477011197299,1.0601615009166183,0.009705733693947702,0.4857944780658689,0.9085097092228966,0.10037470637141048,3.0844598203092007e-06,0.10641146128518872,2.9214666362218483e-08,3.810216982091982,0.025901359898030267,0.04793839995494409,0.35203466044606885,0.3931425699234683,0.5246031746031745,3.64621795900323,0.64551115018504,-0.7028739461878282,4.986394586371125,0.28650793650793654,-0.5010366364853232
12,7.602802948291237,6.758407839609159,0.2225221076061496,0.8221429131321005,0.08581767051851817,1.114825176701569,0.006376403779282235,0.0857617580113667,0.9079046698136104,0.1002704517261402,2.8402418703646273e-06,0.11178658507515137,1.9495727665835967e-08,7.679805148555149,0.02282215242565965,0.0435638903740063,0.3061603545228137,0.3513598069594166,0.5206349206349206,3.8852399207547466,0.7240344163304878,-0.7596185183342361,4.875360500101996,0.3007936507936508,-0.5552639853130511
13,10.97135291083439,10.171607043533712,0.17324031425916867,0.782421911568255,0.11601299649101272,1.045432102519028,0.007260065091024905,0.11596059473399824,0.8983825064742484,0.10020661225190033,2.4070610871186128e-06,0.10475820044866054,2.2467976922051706e-08,3.8880804525335777,0.03170662315683188,0.04235287813550854,0.2922069490503924,0.340567077314661,0.5198412698412699,2.7021222251032055,0.7013875929286874,-0.4596398895847015,4.447614648819769,0.30714285714285716,-0.5375318740018475
14,7.702226521195592,6.881534936661656,0.4529195001449537,0.7753996527728599,0.08901154154300868,1.1113390281790099,0.008557437908565817,0.08895585947221428,0.8643555135138937,0.10017230059649493,2.115642702257311e-06,0.11132793187750008,1.8816315352431552e-08,9.099664224664224,0.017502583237676856,0.05132863814252192,0.21969795982223564,0.3968510565834333,0.5198412698412699,-0.2514990391904609,0.00396825396825036,-0.8209781848109919,4.35696061967544,0.20238095238095238,-0.5935114025948752
15,10.69675166405536,10.055318371871033,0.14974919045595703,0.6264583775798815,0.23203512356902967,0.957928563261732,0.006285576538800127,0.23198715762540825,0.8584455325092013,0.10012429727090372,1.601592914478199e-06,0.09591372094930982,1.0693815578141746e-08,1.6927335058845476,0.03109694563153422,0.049219741636839696,0.325242105602985,0.38350417874441334,0.5218253968253969,1.6994217244300345,0.213568514744404,-0.8111112040906897,4.2366867672945245,0.19920634920634922,-0.4333933220155698
16,5.709203234878746,5.062512381294289,0.2664880810066353,0.6200421199982835,0.1967351925862709,0.9374552791853376,0.004904513334986804,0.19668825719773436,0.8167303733376635,0.1001129150390625,1.4975264265730574e-06,0.09385295278551002,8.397039644783815e-09,35.884441561524895,0.00038852067335462846,0.055685568846099785,0.006812684924818221,0.4379019638904474,0.5146825396825396,-0.25149903919051453,0.00396825396825,-0.8209781848109919,4.807730498237245,0.3150793650793651,-0.4572626989028614
