epoch,train_loss,train_reg_loss,train_rank_loss,train_net_loss,train_soft_gross,train_soft_turnover,train_soft_net,train_soft_concentration,valid_mse,valid_IC,valid_RIC,valid_ICIR,valid_RICIR,valid_prec_10,valid_top5_net_sharpe,valid_top5_avg_turnover,valid_top5_mdd
1,0.04728929504088945,0.04720612439689123,0.0008317070082417981,-0.0003649761326741479,0.0003649761326741479,1.0799410420853026,0.0003649761326741479,0.5289549192533631,0.01881795676955646,0.025487231328560667,0.02155551825556558,0.11089952928252693,0.0883407910855677,0.5051383399209487,0.5713790163692041,0.7296442687747037,-0.7243176959656286
2,0.0070986782589861465,0.007056618502570523,0.0004205974087814655,-0.0011020478544239494,0.0011020478544239494,0.9125341109764513,0.0011020478544239494,0.21153950494140236,0.013094102800935191,0.032815547245898725,0.024712047563421855,0.1271353610038073,0.09427244670321944,0.5098814229249012,1.0192500426893898,0.8434782608695653,-0.7271656729486131
3,0.004874986932363662,0.0048414900507354605,0.0003349688479214121,-0.001406702559735992,0.001406702559735992,0.7691963433605598,0.001406702559735992,0.16169662701361107,0.008846291674875127,0.0235679251363057,0.020444128478078503,0.1007900796154881,0.08395602134491385,0.4972332015810277,0.5932109388004081,0.8735177865612648,-0.7336677211246181
4,0.003664150990127125,0.0036349352346286366,0.0002921575727595329,-0.001183407420025671,0.001183407420025671,0.6858264637572465,0.001183407420025671,0.1422868195730685,0.008170523344242769,0.027840621472119798,0.02081661513096131,0.11653786007986404,0.08398064140592709,0.5055335968379446,1.03025869869146,0.8656126482213439,-0.7438665241599022
5,0.003038732690096955,0.0030121064447383916,0.0002662625233760348,-0.0006799652657427298,0.0006799652657427298,0.6416051775045571,0.0006799652657427298,0.11263262057921501,0.006127426939652701,0.02744361791388211,0.023095918294227726,0.11697895470327091,0.09415310523358152,0.508300395256917,0.8962074532346476,0.8845849802371543,-0.7270274163607295
6,0.0024009223433559515,0.002376961315078943,0.00023961029945701628,-0.000707650367001482,0.000707650367001482,0.588806853152892,0.000707650367001482,0.10771267542596719,0.005995042611030503,0.021723957989092865,0.018249635028584003,0.09277620399364678,0.07460742222594129,0.5019762845849802,0.7282053834067502,0.8671936758893282,-0.7110595439002819
7,0.0021674911694417737,0.002145113989697873,0.00022377179104865957,-0.00028303654320910884,0.00028303654320910884,0.5511740414770567,0.00028303654320910884,0.10262974826595511,0.0053959858250310615,0.02759502061651252,0.024074503117732102,0.11765544291238063,0.0996681800305287,0.5090909090909091,0.9478883985111209,0.8656126482213439,-0.712565684043331
8,0.0019960149224539465,0.0019751732314071345,0.00020841689795200394,-0.0016162090851218065,0.0016162090851218065,0.506577280780841,0.0016162090851218065,0.08987091092552726,0.005609278558732447,0.02555736287163277,0.022612200891483882,0.10981507752307394,0.09462984654732996,0.5055335968379446,0.5464892517052383,0.8039525691699606,-0.7528369833478007
9,0.0013842983826914935,0.001365721272951406,0.0001857711017150032,-0.001278421731762702,0.001278421731762702,0.44733232504634113,0.001278421731762702,0.0626686054084337,0.004677295104285233,0.026562889791393395,0.021449204850811587,0.11441637030761964,0.09037332028569428,0.5035573122529644,0.7230518746363394,0.7976284584980238,-0.7213005371178742
10,0.0015077335425450306,0.0014896160189469222,0.0001811752210469973,-0.000458660755708936,0.000458660755708936,0.40728982168961597,0.000458660755708936,0.06251703091600741,0.004354684487788156,0.025606106150594,0.024762244240807994,0.11256384995755005,0.10648082456492275,0.5031620553359684,0.7843261827898297,0.8750988142292491,-0.7046612479908313
