dataset,method,kappa,IC,RIC,top5_net_sharpe_10bps,top5_avg_turnover,top5_max_drawdown
NASDAQ,tc_stockmixer,0.0,0.016094262988282718,0.034175811124989186,-1.121944241769466,0.46160337552742625,-0.3383276539384784
NASDAQ,tc_stockmixer,0.25,0.01627817050929854,0.033483353451487646,-1.2248982520867484,0.5358649789029536,-0.3634035981419923
