epoch,train_loss,train_reg_loss,train_rank_loss,train_net_loss,train_soft_gross,train_soft_turnover,train_soft_downside,train_soft_net,train_soft_concentration,train_alpha_eff,train_lambda_eff,train_turnover_penalty,train_downside_penalty_weighted,valid_mse,valid_IC,valid_RIC,valid_ICIR,valid_RICIR,valid_prec_10,valid_softmax_net_sharpe,valid_softmax_avg_turnover,valid_softmax_mdd,valid_top5_net_sharpe,valid_top5_avg_turnover,valid_top5_mdd
1,12188.973278513262,12188.198150524016,2.927259210136629,0.4824671882294839,0.5154892128674431,1.3216039250696212,0.008574763121911192,0.5113678260986607,0.9938350127829659,0.6009318690146169,0.41396988899477066,0.794947227822654,0.0037239128960720783,1066.430402930403,-0.02925824256788269,-0.03537033288580587,-0.2282515910673448,-0.3145459225000684,0.5099206349206349,1.3628749581567812,1.1892392429056131,-0.7810844869035654,2.104897644241916,1.3341269841269838,-0.4618333799473605
2,649.1038056304378,648.5633413660911,0.7031868628676861,0.4701423448059828,0.5064723868206589,1.2370383315574918,0.009273986792474697,0.5063360124822206,0.9764783592714418,0.141168705109627,0.005782722657726657,0.17684245161712805,4.793160140935005e-05,492.6657848324515,0.03428998237471761,0.05842622501392651,0.2748284751290642,0.5417557394675965,0.5376984126984127,1.7947554194651594,1.1473952921456883,-0.8056899295570599,2.938300076367628,0.8563492063492064,-0.3447924310808057
3,575.1412697599781,574.6416332944747,0.5081753311318256,0.44881800015366846,0.5143936521887869,1.2542772537374987,0.007752161803461879,0.5143201925822889,0.9631381929221172,0.10489167244203629,0.0010080149096827354,0.1321070398641062,7.406048985702422e-06,254.69073056573058,-0.004662736435123449,0.0052296819599928586,-0.04305189410527352,0.047451379061857,0.5357142857142857,1.2273196317458124,1.3190287950034916,-0.8925193239930156,2.5874545296317724,1.3087301587301587,-0.4174512574793885
4,251.90804818253363,251.47578500586172,0.3992020534291383,0.39234365995733006,0.5582681684636818,1.0321767951559153,0.008059623887674935,0.558213397909139,0.9505570581242923,0.1016935286983367,0.0002822262625540456,0.10498089154184995,2.297483661604931e-06,436.0942205942206,0.006016055863326575,0.016188169862731725,0.05061092203668549,0.14619688013363852,0.5325396825396825,1.1423391903906457,0.3283073863313514,-0.4933891696304781,2.768200425605629,0.9880952380952382,-0.31470309047504164
5,174.28782631697194,173.24283462320605,1.5966987073631778,0.8853225035412657,0.06151229178859812,1.217442465597415,0.006348626966698293,0.06145000667053112,0.9467725110150153,0.10091897287676412,0.000133218111530427,0.12288118315995548,8.449662885101627e-07,215.0689696106363,0.028231962414423974,0.05167601690544575,0.21178486839383068,0.4699518275241357,0.5424603174603175,1.3052960307335573,0.8892847715032767,-0.9546573922660491,2.817809928973638,0.757936507936508,-0.3343932527900647
6,112.99716280333458,112.55464261260725,0.2673765302846028,0.4157821838083046,0.5284134217386813,1.2194409042539451,0.008250457305457613,0.5283513966667907,0.9441335803288365,0.10070692493069557,7.675732335736675e-05,0.12281148254748253,6.19817628045255e-07,124.5609652692986,0.01165366363306618,0.006665936880804073,0.11059066274458038,0.05999906706006617,0.540873015873016,1.5268810517612832,1.0279918976565317,-0.8317652333540424,2.891530879129649,0.9769841269841271,-0.38696149280140735
7,88.87725604339954,88.45940735330505,0.234451267153265,0.3944038136051066,0.542908882241031,1.1866238248188936,0.008007636533019134,0.5428487441140798,0.9372525587918297,0.10063762049521169,5.602855836191485e-05,0.11942191009969733,4.4162051501000385e-07,103.2214590964591,0.01181952074408959,0.044850175083822344,0.08324205629329534,0.38198940669045217,0.5460317460317461,3.0920430044214657,1.1888592663046131,-0.9338102816495202,6.8164457554205455,1.0992063492063493,-0.25770001622043603
8,71.14532906297714,70.70398959397308,0.22077730551902805,0.41926170523248374,0.5043500554581043,1.1894657377367102,0.0075622455021265534,0.5042899733380884,0.9235516795467946,0.10047164424773186,4.3770574754284276e-05,0.11951057370958298,3.2682269732201906e-07,86.92370438203771,0.027694495186799853,0.04432079595194356,0.19155536764028486,0.41363143015387166,0.5341269841269842,1.5895830778376296,0.8386423575404678,-0.8304851624275731,2.7183469166326875,0.903968253968254,-0.2877153671918814
9,39.95267211852535,39.51262181809833,0.16219095154515198,0.42383098884095105,0.5093983468961533,1.1749954869290655,0.008900319868866517,0.5093390604349687,0.9331700491568734,0.10042035502772177,3.507483390069777e-05,0.11799290844520957,3.047323069498858e-07,58.481642585809254,0.016579223878827837,0.025542580691336792,0.1299771305275093,0.22209642498834245,0.5468253968253969,1.2864387106191166,1.1781779142425952,-0.8077027588459734,2.8566591907246055,1.0261904761904763,-0.33412534293387985
10,37.89033393696431,37.472181092106524,0.16559409745217812,0.40159354225522087,0.5329501592264837,1.1154055802622462,0.005472287482773397,0.5328940331977984,0.9344875759174747,0.10039003433719758,2.663731575012207e-05,0.11197846890808101,1.500310121829751e-07,56.28313237688238,0.03564455587143482,0.051771459246280876,0.23959561745954566,0.45757767020501267,0.5432539682539683,1.2949912623158095,0.5679053250509,-0.7823529243461522,2.692729031895559,0.6801587301587302,-0.29214777776181544
11,24.682693699386814,24.291125665508932,0.14009085278357228,0.37755906762134644,0.5303960349248037,1.2160509542010318,0.010530925229847436,0.5303348452646202,0.9078939126744385,0.10029779249621976,2.0898349823490266e-05,0.1219719526247524,2.0420556382310554e-07,29.01181573056573,-0.011074357860410888,-0.01186013060641054,-0.1300068985235104,-0.10079574127701255,0.5162698412698412,2.2850730452247348,1.1385164992354713,-0.6799685515281698,5.281720745042042,0.838888888888889,-0.4097059122265567
12,29.562247094031303,28.71961571050267,0.39252155328529975,0.8033794197824693,0.10629225760418384,1.1650700859029641,0.004577146525884985,0.10623380559733574,0.9096132248039207,0.10022779895413307,1.478906600706039e-05,0.11677232780657255,6.655467843709145e-08,31.706489112739114,0.026172341424463747,0.04757365762845997,0.21921591272772667,0.40802727200317546,0.5392857142857143,2.723960389878703,0.3951563387506677,-0.9424242628231845,2.9996906210367813,0.7436507936507937,-0.3466541342022308
