epoch,train_loss,train_reg_loss,train_rank_loss,train_net_loss,train_soft_gross,train_soft_turnover,train_soft_net,train_soft_concentration,valid_mse,valid_IC,valid_RIC,valid_ICIR,valid_RICIR,valid_prec_10,valid_top5_net_sharpe,valid_top5_avg_turnover,valid_top5_mdd
1,0.24669610513338933,0.2493233117741777,0.0011876371376201124,-0.0027459700877682396,0.0035884192996196353,0.791289206436639,0.002797130090748836,0.5115989667532796,0.009151817618626587,0.04003267835030201,0.02311822462859025,0.18607831839693273,0.10870472699573451,0.5193675889328063,1.8301877939920947,0.6490118577075098,-0.6783597176358598
2,0.008260087214405602,0.009029869911804175,0.0003936732315196423,-0.0008091500143876542,0.0013186858422490014,0.47742824735772404,0.0008412575902135613,0.32107555344794886,0.007981214706062847,0.014820050559773054,0.0169680620931917,0.06003372069677145,0.06723450350204019,0.5055335968379446,0.6159171327890497,0.8861660079051386,-0.7576366948047477
3,0.005602982852930165,0.007325557541899439,0.0003554692838893383,-0.001758121650344019,0.0021707018039784946,0.3832686012724623,0.0017874331990332952,0.29311522209000856,0.008906577646238284,0.012724514618126381,0.015188389568362567,0.04749139814454057,0.05632299135099759,0.5011857707509881,0.30378617994874685,0.7565217391304349,-0.7696097797301072
4,0.004007786812879277,0.004882991024601094,0.0003218516683571377,-0.0009073893958416055,0.0012723570579644015,0.33697261189460326,0.000935384424775502,0.27995016913522375,0.008430524600104652,0.02059186098378486,0.02069925046392273,0.07716621847087286,0.07613826007026255,0.5039525691699605,0.4644866088279545,0.7897233201581028,-0.7418322420045448
5,0.0019651829483777737,0.004931365260254648,0.0003197037197800584,-0.0029981527374116704,0.003378848198900296,0.3458668552604831,0.0030329813405955757,0.34828587694168844,0.007052534383351783,0.024224904748791378,0.010859381470645005,0.10077763242453865,0.0459749556889777,0.5142292490118577,1.6808663922266567,0.6268774703557313,-0.7501162022784724
6,0.0034373080546055176,0.005523665856471229,0.00032737803832255067,-0.0021190956250310674,0.0024975084871002367,0.3451332419588084,0.0021523752525515073,0.3327961961273104,0.015455356447185462,0.02887902799771985,0.015492668127141389,0.10464620812548461,0.05534325148442892,0.5201581027667984,1.8701225268703898,0.5636363636363637,-0.6750067733367392
7,0.0023825929112111528,0.0050017054634276924,0.0003151850742436393,-0.002650631018576575,0.002984829986676258,0.2959127817974722,0.002688917175232716,0.3828614108391445,0.010334465001534851,0.027420774962732347,0.008179823609520432,0.09366290209915168,0.027509392163155087,0.5094861660079051,1.9465147219687382,0.549407114624506,-0.7235820619506339
8,0.0018642181297176227,0.004658032625953601,0.00030814579586149196,-0.0028246290739012566,0.0031524096369104156,0.29589315952737955,0.002856516466257878,0.31887402264095577,0.008320691143742131,0.02910895150531849,0.008084081732033477,0.10324599969995434,0.028546648152323842,0.5146245059288537,1.6414992360992469,0.5652173913043478,-0.7053575232239007
9,0.0026199060170605517,0.004090277333226469,0.0002972746785242708,-0.0015000988108765498,0.00177138717819815,0.24509198770735413,0.0015262951960908517,0.2619640299191962,0.007545987655648046,0.017673964158268423,0.01544785546184812,0.06599827452343691,0.05641063627389171,0.49960474308300395,0.6676205996347785,0.6853754940711464,-0.729168330950059
10,0.000866604916988919,0.0028489304501845528,0.00026783085698417665,-0.002009108583757234,0.0022590082422623433,0.225377154726276,0.0020336310919315263,0.24522488221497923,0.007651083739098383,0.01107489643463489,0.012941978141952599,0.04276902360141808,0.048347485974163495,0.5059288537549407,0.27099811463058926,0.7027667984189724,-0.7399032050703312
11,0.001797803156248369,0.0032979314727591105,0.00028020308959042663,-0.0015281486523713514,0.001796861217838672,0.24094358581908143,0.001555917611407301,0.2776897369288943,0.008016038570415822,0.016941961533904232,0.011780585433101223,0.06045237495134363,0.04146558113042525,0.5007905138339921,0.5849249346368293,0.6584980237154151,-0.7385175350659382
12,0.0012987763611211752,0.0030151411930376647,0.00027290763337261544,-0.0017436555625519041,0.0020205548454610635,0.25071474898648355,0.0017698401144505254,0.2618455815199537,0.008374574943439798,0.0193451739283734,0.012601321353721882,0.06886726122842428,0.0449532755791612,0.49525691699604746,0.6002131726902882,0.5667984189723321,-0.7295406380567531
13,0.0017444836625163773,0.00326708103300806,0.0002757106439174903,-0.0015501683953433795,0.0018105730644320066,0.23392684947825287,0.001576646234044432,0.26477840674613046,0.007661866504731982,0.013294277586168237,0.012352872257250284,0.048350682801602755,0.044410322590019764,0.49328063241106723,0.3480767398277678,0.6063241106719369,-0.7374675774927766
14,0.0008660903257538912,0.0032481118555432375,0.0002713361051193182,-0.0024091551551372495,0.002682482832134344,0.2491501900262838,0.002433332681729107,0.2417756519576704,0.008414264946857384,0.020600732985775274,0.014054174864139582,0.07219411671248903,0.049697839049635914,0.4924901185770751,0.9863974276139396,0.6126482213438735,-0.7217056322801837
15,0.0017820189594975533,0.004115204710743832,0.00028028792136562214,-0.002361214578032063,0.002622512696174773,0.2365041897680165,0.002386008550501083,0.24793913469019563,0.010580870485737604,0.02671019734652516,0.016367408211475715,0.09114981481566099,0.05656211852660935,0.5019762845849802,1.1910003044139712,0.5288537549407114,-0.7014860599969515
16,0.0009950346198177547,0.004441758833950235,0.00028411945482969376,-0.003475136168701669,0.0037811885353187785,0.2755544213618601,0.003505634089621726,0.30497943340057526,0.014668832429881507,0.02884476990654446,0.013778916049734252,0.10350898286230431,0.04763792916704264,0.5166007905138339,2.097664580677515,0.4039525691699605,-0.6431012101048481
17,0.002980440288207099,0.006579543486228119,0.00029468168504168677,-0.003628571440372116,0.003915845604505719,0.25651930218994223,0.003659326303946373,0.3075483202221662,0.012809164172858191,0.022863716728602837,0.005798852565246149,0.07491804824761558,0.019114741475847973,0.5047430830039527,1.6638414640415893,0.47351778656126486,-0.6905294226932512
18,0.003135725885989483,0.005901351289834235,0.0002976787677074423,-0.0027953933074628605,0.0031137975110575866,0.28338769861645496,0.002830409796799643,0.3501648508976543,0.009955517920958518,0.018929447458482743,0.0011318400199530566,0.06708819313126561,0.003971483807654236,0.5019762845849802,1.6287379345612298,0.48300395256917,-0.6729619278869821
19,0.0022114663785546924,0.004882916056132415,0.0002708122888923919,-0.0026985309051554517,0.0029632247160013246,0.23466616689863254,0.0027285585264095317,0.3002757353146062,0.012877796023144211,0.017280361171812246,0.0009104212996278786,0.0557161265433154,0.002964348144440896,0.5047430830039527,1.5906183782541892,0.4766798418972333,-0.6906689928621089
20,0.004009436701031665,0.007126178698216782,0.0002940801304882343,-0.0031461501096214997,0.003409639057341408,0.22981608641649207,0.0031798229036562246,0.33672740878701923,0.01270701444219993,0.012187303880637896,-0.0027005425232051053,0.036386109880623754,-0.008115515241880731,0.4980237154150198,1.5209719641134958,0.47667984189723317,-0.7067845179327044
