metric,n,mean,std,median,min,max
valid_backtest_softmax_gross_mean_daily,39,0.15383818329433352,0.19624077143739532,0.10833405552660029,0.024799555279171652,1.2764945741509333
valid_backtest_softmax_net_mean_daily,39,0.15252901306809233,0.1960033773789581,0.10759916731101703,0.023981747905963965,1.274335157696778
valid_backtest_softmax_gross_sharpe,39,4.366105514831704,0.6360572625182547,4.447621020111639,2.103649530212553,5.465152570695164
valid_backtest_softmax_net_sharpe,39,4.317482334042809,0.6293663944919591,4.353000480663205,2.1000791254873374,5.433553610847484
valid_backtest_softmax_net_sortino,39,20.766278754797977,16.612413311604225,18.749319192611487,7.128759663675178,116.30232955845054
valid_backtest_softmax_net_ann_return,39,7791104100610803.0,3.4154304432734924e+16,6960773.594026098,158.54338933560533,1.682487968797558e+17
valid_backtest_softmax_max_drawdown,39,-0.7546169805166846,0.11458163404337258,-0.7427309271376699,-0.9616301201881872,-0.5299513501417497
valid_backtest_softmax_calmar,39,8258337490041388.0,3.612570568639643e+16,9928695.376204828,265.6620331634535,1.749620704961438e+17
valid_backtest_softmax_avg_turnover,39,0.8727801508274329,0.3208171677758103,0.8817016809212422,0.28219691821114923,1.5310715367083583
valid_backtest_softmax_median_turnover,39,0.8193709240272156,0.6373576543483146,0.7311242467072796,9.688989593723138e-06,1.9999999958462185
valid_backtest_softmax_avg_holdings,39,51.55209605209605,29.61359850804964,47.698412698412696,3.5436507936507935,109.46031746031746
valid_backtest_softmax_final_equity,39,7791104100610803.0,3.4154304432734924e+16,6960774.594026098,159.54338933560533,1.682487968797558e+17
valid_backtest_top5_gross_mean_daily,39,0.11856291846402964,0.07343145697074174,0.10223736227046233,0.023079560293716363,0.386085139444959
valid_backtest_top5_net_mean_daily,39,0.1175726559487671,0.0731322881936869,0.10135521941331947,0.022873607912763983,0.3844720442068637
valid_backtest_top5_gross_sharpe,39,5.842881300078933,1.4629282000417738,6.224572047242072,2.4311306964251154,7.786028440661316
valid_backtest_top5_net_sharpe,39,5.787483674542806,1.4528964864089338,6.096542499624906,2.4116154378013883,7.669617422303654
valid_backtest_top5_net_sortino,39,33.048639164654496,17.720079469390107,35.23300162767685,5.9466033003089285,91.16063586463356
valid_backtest_top5_net_ann_return,39,6.999231855094842e+16,4.123984951525466e+17,476279503.08476007,45.92777135063497,2.5772762153975286e+18
valid_backtest_top5_max_drawdown,39,-0.46425031525698923,0.13073202295578396,-0.4680237528750839,-0.7164159982505595,-0.23790040043592453
valid_backtest_top5_calmar,39,1.6638505646369274e+17,9.787699152701128e+17,1707438579.8339176,71.66793194738256,6.116769832990854e+18
valid_backtest_top5_avg_turnover,39,0.6601750101750101,0.32845532032299013,0.6690476190476191,0.1373015873015873,1.5865079365079366
valid_backtest_top5_median_turnover,39,0.6333333333333332,0.3827417250185501,0.8,0.0,1.6
valid_backtest_top5_avg_holdings,39,5.0,0.0,5.0,5.0,5.0
valid_backtest_top5_final_equity,39,6.999231855094842e+16,4.123984951525466e+17,476279504.08476007,46.92777135063497,2.5772762153975286e+18
valid_backtest_top10_gross_mean_daily,39,0.08648562403534188,0.04361094556920664,0.08513585899397172,0.02928914410427059,0.22069468427707475
valid_backtest_top10_net_mean_daily,39,0.0856174616421795,0.0433750870882153,0.08430490661301934,0.02900462029474677,0.21935777951516996
valid_backtest_top10_gross_sharpe,39,6.40478999403818,1.695458787313891,6.502623903279331,2.764236655605953,8.832097966657484
valid_backtest_top10_net_sharpe,39,6.3338629858482935,1.6762492130676727,6.463712622199486,2.7562191011477184,8.744416411503577
valid_backtest_top10_net_sortino,39,28.895905220155427,16.031935325130032,26.175531679547152,8.068584556141264,81.09812759114492
valid_backtest_top10_net_ann_return,39,1328165700645.6194,7315671806155.467,49111404.12658952,388.6589769044367,45668758490239.57
valid_backtest_top10_max_drawdown,39,-0.43061218904182763,0.13992369254045628,-0.43180609588448293,-0.7425312611694551,-0.23361391507908724
valid_backtest_top10_calmar,39,5634156375724.76,31079918034395.65,133960817.68379097,663.4897847774635,194000508790448.47
valid_backtest_top10_avg_turnover,39,0.5787749287749288,0.31453243176630097,0.6055555555555556,0.17222222222222222,1.4865079365079366
valid_backtest_top10_median_turnover,39,0.5076923076923077,0.33980227639692817,0.4,0.2,1.6
valid_backtest_top10_avg_holdings,39,10.0,0.0,10.0,10.0,10.0
valid_backtest_top10_final_equity,39,1328165700646.6194,7315671806155.467,49111405.12658952,389.6589769044367,45668758490240.57
test_backtest_softmax_gross_mean_daily,39,0.017869173127079314,0.013420168468482234,0.014816244079928367,-0.006711449011984706,0.04722845319928724
test_backtest_softmax_net_mean_daily,39,0.01680738336894351,0.013383350947083077,0.01394400994845366,-0.00803309958202195,0.045298112091876834
test_backtest_softmax_gross_sharpe,39,1.9161147761279187,1.3416981305808167,2.0436671452295996,-1.6204250734149779,4.146580860671011
test_backtest_softmax_net_sharpe,39,1.775173011226858,1.3787782579665713,1.9167523776391708,-1.9381508657444104,3.9854325224265685
test_backtest_softmax_net_sortino,39,4.418088723734197,3.6955960552624934,3.9148536327034233,-3.0733638727416883,13.390363479703346
test_backtest_softmax_net_ann_return,39,54.743258121984944,145.94656106055737,3.9913036293671187,-0.9251998809179239,869.2273147574954
test_backtest_softmax_max_drawdown,39,-0.4859434895582639,0.22284785863269338,-0.5085340748985847,-0.840378638926183,-0.14723256966895693
test_backtest_softmax_calmar,39,168.10188620042743,409.1878066176714,10.524968145748451,-2.4720657906507255,2272.491139796632
test_backtest_softmax_avg_turnover,39,0.7078598387572026,0.33618569841292845,0.7493617292112793,0.13553243250236785,1.286894071606929
