epoch,train_loss,train_reg_loss,train_rank_loss,train_net_loss,train_soft_gross,train_soft_turnover,train_soft_net,train_soft_concentration,valid_mse,valid_IC,valid_RIC,valid_ICIR,valid_RICIR,valid_prec_10,valid_top5_net_sharpe,valid_top5_avg_turnover,valid_top5_mdd
1,0.026556743109579877,0.026484419784124788,0.0007232324871536646,-0.002118228210649151,0.002118228210649151,0.9303248788230121,0.002118228210649151,0.1039636088992985,0.003532827445974694,0.016496016786832605,0.016820462964067775,0.1764715626206295,0.17097704657856516,0.5119047619047619,1.130282963641516,0.7182539682539683,-0.2435427729583839
2,0.0026939037603615607,0.002653214067843667,0.00040689691699839927,-0.0016365381780889111,0.0016365381780889111,0.6164473767820242,0.0016365381780889111,0.030079661412133106,0.002740583497112387,0.02350455240690751,0.021477311306701677,0.24109738802204664,0.20602957020294876,0.5091269841269842,1.5231248541949451,0.7182539682539683,-0.15226144121582508
3,0.001970977642702417,0.0019377075178183716,0.00033270126195684253,-0.0012156402492699862,0.0012156402492699862,0.4441681520963037,0.0012156402492699862,0.011093025492988778,0.0025142268931552716,0.020605328026265687,0.01967730037176666,0.21665977291330252,0.19997104856115985,0.5075396825396825,1.361297960678411,0.676984126984127,-0.17980333300776352
4,0.0016071277506164955,0.001578402897261234,0.0002872485339262435,-0.0013207508688021729,0.0013207508688021729,0.3544346150916976,0.0013207508688021729,0.003937359842490657,0.0021524415524767646,0.013904284121160165,0.014068591452085446,0.16019142619477042,0.1648239132775876,0.5119047619047619,0.8441482833740657,0.7563492063492064,-0.2334088216312039
5,0.0014355674484348227,0.0014090955063914628,0.00026471944067845863,-0.0009803232240645574,0.0009803232240645574,0.3124212331163722,0.0009803232240645574,0.0018734916799223503,0.0018041604105855627,0.015056223185827583,0.013987643700282434,0.1711516386345133,0.1560319105433543,0.5003968253968254,0.7893573305533244,0.7214285714285714,-0.252341885201228
6,0.001412884031132971,0.0013875320334320988,0.0002535200065746746,-0.0009264330837460285,0.0009264330837460285,0.29369078249343344,0.0009264330837460285,0.0016918522181505388,0.0020660628036947115,0.01632092823410628,0.012533629509924876,0.19321511605703745,0.1386073310520126,0.5075396825396825,1.2313573074547712,0.6976190476190477,-0.26793939627303986
7,0.0012920756921851757,0.0012684705917333327,0.00023605098804919917,-0.0009358312992451436,0.0009358312992451436,0.27333223148173574,0.0009358312992451436,0.0013507909816375153,0.0014814190916420803,0.019529723364262796,0.018224861092077715,0.21657994835507102,0.19623478953331913,0.501984126984127,1.9743750994878244,0.7642857142857143,-0.2356434052912736
8,0.0011999336671873902,0.0011776337636449073,0.00022299902805054836,-0.0009521154995446842,0.0009521154995446842,0.2587941188566588,0.0009521154995446842,0.001255042285098367,0.0013905696451728352,0.016034330649055163,0.01571169364908258,0.1748216927953228,0.16740372096228448,0.49722222222222223,1.23199916922617,0.7452380952380953,-0.18259437775836318
9,0.0011234950485821762,0.0011027306852770995,0.0002076436175549453,-0.000986611726143196,0.000986611726143196,0.24470771784717973,0.000986611726143196,0.0012052450904849212,0.0014954076189871554,0.0244437220929469,0.022755991437811228,0.2570877357188828,0.2274158849902637,0.4996031746031746,1.8290501252705451,0.7357142857142859,-0.2715933112362152
10,0.001026319202257484,0.0010066025396038125,0.00019716662682185416,-0.000985143101304955,0.000985143101304955,0.23322085266983186,0.000985143101304955,0.001177769701462239,0.0013023216499570094,0.01980385308696046,0.018624249069332452,0.21793713586029442,0.19696932273925755,0.4968253968253969,1.2326247142533977,0.7261904761904762,-0.21590972854903545
11,0.0010094869946762038,0.0009905377526789577,0.00018949242372842933,-0.001011243296552739,0.001011243296552739,0.22578260020629778,0.001011243296552739,0.0011424736480064991,0.0014345918980837227,0.013298960887012127,0.014742087169780127,0.14495568999263875,0.1589526477283991,0.4988095238095238,1.5058330008160266,0.727777777777778,-0.20106622683560393
12,0.0010091843112604692,0.0009903333812945748,0.00018850931668861745,-0.0010432857511143477,0.0010432857511143477,0.22641292528526202,0.0010432857511143477,0.0011499335128826568,0.0013201973007270396,0.020963975979974375,0.01910061522673267,0.219124859509973,0.19367360930637673,0.5027777777777779,1.6067459818750844,0.7515873015873017,-0.27536331883547427
13,0.0009391157736457457,0.0009214237486515698,0.00017692025846642806,-0.0010151448038291041,0.0010151448038291041,0.213978706854018,0.0010151448038291041,0.001106977863457507,0.0011983895014453297,0.013172326207008821,0.012497195812453175,0.14374473124641346,0.13353460132553666,0.503968253968254,1.5790954845859821,0.776984126984127,-0.26238505450127425
14,0.0008826102333841845,0.0008659562624588206,0.00016653971854523392,-0.0010365192557376733,0.0010365192557376733,0.20569880586620923,0.0010365192557376733,0.0010991546057944966,0.0018680797612470317,0.018074696390899612,0.016522891142951607,0.18861153831227542,0.17064485516448988,0.5234126984126983,1.9747450112906084,0.7547619047619047,-0.28587803766428466
15,0.0008821707256641742,0.0008661536433784341,0.00016017080409722907,-0.0010356505626790552,0.0010356505626790552,0.19801640845835208,0.0010356505626790552,0.0010832360841812113,0.0011072681407857884,0.024416921986895677,0.022591315796489583,0.24325994653883626,0.21023457135327278,0.5115079365079366,2.104962340043197,0.8500000000000002,-0.2381594582758908
16,0.0008221138807916636,0.000807307222173738,0.0001480665860022733,-0.0009858683434809004,0.0009858683434809004,0.18347696599525373,0.0009858683434809004,0.0010650774742464056,0.0009649116016939518,0.01776927083893443,0.017052780765395514,0.18020516582132023,0.16663031066112197,0.5055555555555555,1.3857888178764775,0.8753968253968255,-0.2857977175339683
17,0.0007580064951734793,0.0007439054516883492,0.0001410104357116349,-0.0009493281251658069,0.0009493281251658069,0.17196823278995785,0.0009493281251658069,0.0010497053608461912,0.0008781021336944911,0.015885890898884907,0.019614944887578117,0.1729794670762094,0.21365560517462256,0.5103174603174603,0.8322518519488986,0.9563492063492065,-0.2363978521576664
