gross_mean_daily,net_mean_daily,gross_sharpe,net_sharpe,net_sortino,net_ann_return,max_drawdown,calmar,avg_turnover,median_turnover,avg_holdings,final_equity,cost_bps,topk
-0.001752113282930588,-0.001752113282930588,-0.4529665106105346,-0.4529665106105346,-0.818059040568531,-0.5958785460989244,-0.21559597097322003,-2.763866798652637,0.1259259259259259,0.0,5.0,0.9074873115018047,0.0,5
0.016966407333637582,0.016966407333637582,3.503826884952375,3.503826884952375,10.474957097274736,33.95505777503622,-0.1395349385452943,243.34448510736794,0.19259259259259262,0.2,10.0,1.4634438841204007,0.0,10
-0.001752113282930588,-0.0018150762458935506,-0.4529665106105346,-0.469211918926082,-0.8452951332938796,-0.6023603747701953,-0.21559597097322103,-2.7939315008916377,0.1259259259259259,0.0,5.0,0.9059165158793561,5.0,5
0.016966407333637582,0.016870111037341286,3.503826884952375,3.482786577835098,10.396652809643475,33.10903163773284,-0.14014699523682983,236.24503387708543,0.19259259259259262,0.2,10.0,1.4596072304411927,5.0,10
-0.001752113282930588,-0.0018780392088565123,-0.4529665106105346,-0.4854525156220487,-0.8723799143239517,-0.6087407905224906,-0.21559597097322236,-2.823525819020405,0.1259259259259259,0.0,5.0,0.9043478074121789,10.0,5
0.016966407333637582,0.01677381474104499,3.503826884952375,3.4617547365080736,10.31843983442261,32.283306141054965,-0.1407586788116476,229.35215372420936,0.19259259259259262,0.2,10.0,1.4557798106346476,10.0,10
-0.001752113282930588,-0.0019410021718194762,-0.4529665106105346,-0.5016880428196231,-0.8993134580598995,-0.6150213403360762,-0.21559597097322303,-2.852656928406186,0.1259259259259259,0.0,5.0,0.9027811841049089,15.0,5
0.016966407333637582,0.016677518444748695,3.503826884952375,3.440731457490555,10.240323059539984,31.47739833942463,-0.14136998945926926,222.65969219917827,0.19259259259259262,0.2,10.0,1.4519616042252597,15.0,10
-0.001752113282930588,-0.002066928097745403,-0.4529665106105346,-0.5341428590314085,-0.9527272500913486,-0.6272889154221797,-0.2162485721094186,-2.900777144100077,0.1259259259259259,0.0,5.0,0.8996541849947199,25.0,5
0.016966407333637582,0.0164849258521561,3.503826884952375,3.3987109708415666,10.084397286273857,29.92316072721342,-0.142591492730624,209.85235622389308,0.19259259259259262,0.2,10.0,1.4443527499052278,25.0,10
-0.001752113282930588,-0.002381742912560218,-0.4529665106105346,-0.6151732064176764,-1.0836247433462864,-0.6563141428934298,-0.21788760952363306,-3.012168265672908,0.1259259259259259,0.0,5.0,0.8918730380767476,50.0,5
0.016966407333637582,0.016003444370674618,3.503826884952375,3.293816288318754,9.696593952437944,26.352698006475624,-0.14563873793476034,180.9456630838116,0.19259259259259262,0.2,10.0,1.4254904233114234,50.0,10
