dataset,method,turnover,standard_net_sharpe,nonlinear_net_sharpe,sharpe_drop
NASDAQ,stockmixer_baseline,0.8312236286919831,-0.39822957866976094,-1.835576364409134,1.4373467857393731
NASDAQ,tc_stockmixer,0.46160337552742625,-1.121944241769466,-1.9443697263984927,0.8224254846290266
NASDAQ,ppo,0.11054852320675106,0.9396319736842371,0.773407626293862,0.16622434739037517
SP500,stockmixer_baseline,0.6903409090909091,0.09028860256762589,-0.8523787738212963,0.9426673763889222
SP500,tc_stockmixer,0.43579545454545454,0.7103601359294763,0.09035527320339284,0.6200048627260835
SP500,ppo,0.07102272727272728,1.4433715902315054,1.3411817284230778,0.1021898618084276
