dataset,method,bull_ann_ret,bull_mdd,bear_ann_ret,bear_mdd
NASDAQ,stockmixer_baseline,-0.11628111427669895,-0.40184640711758957,,
NASDAQ,tc_stockmixer,-0.3132709066994252,-0.3383276539384784,,
NASDAQ,ppo,0.31189899327476056,-0.20815329958105677,,
SP500,stockmixer_baseline,0.18107160035380673,-0.36093727011101484,-3.2855722173609596,-0.16520413921594235
SP500,tc_stockmixer,0.3883173341397304,-0.264960123567325,-2.819994393833577,-0.1446421864607108
SP500,ppo,0.6911835041891554,-0.17804978476205435,-3.719538812137842,-0.17155598835527675
