epoch,train_loss,train_reg_loss,train_rank_loss,train_net_loss,train_soft_gross,train_soft_turnover,train_soft_downside,train_soft_net,train_soft_concentration,valid_mse,valid_IC,valid_RIC,valid_ICIR,valid_RICIR,valid_prec_10,valid_top5_net_sharpe,valid_top5_avg_turnover,valid_top5_mdd
1,10309.589559532178,10308.66407523429,3.152471488706667,0.6103008410817868,0.3883075864467751,1.3746781721532475,0.012389043380775667,0.3772092559365135,0.9875100967650478,2306.263736263736,0.003025017682749207,0.027887296855896755,0.05194490506274004,0.2707102606399744,0.5035714285714286,5.618150050429356,1.5277777777777777,-0.6391166554815778
2,709.9119086407327,709.3158280172863,0.6721117299578682,0.528867855355949,0.4438089318058263,1.1409224792023436,0.010953717607303074,0.43762658298431023,0.9664944393811999,394.1471645638312,0.0008479522101852247,-0.005868031868500797,0.011056952905043372,-0.053613626314959965,0.47896825396825393,4.95386389302935,1.292857142857143,-0.819297184860891
3,387.12512704713924,385.8671115654546,3.8526215618300075,0.8727543433926798,0.08359622414838443,1.131382702717189,0.012707604534762548,0.08052489055137028,0.95327923301406,259.95972391805725,0.004961540712010511,0.018355686428223484,0.07201048148185137,0.16166742885765956,0.5035714285714286,4.799826120281596,1.1150793650793653,-0.5801562990718407
4,225.00711484543376,223.72732155282756,4.089636178935148,0.8708288853585318,0.066456934232676,1.210084438070912,0.009419839611241904,0.06507895031955133,0.9359078361426254,1181.8287884954552,0.0069465525225314425,0.006540405008601211,0.12275365151312738,0.061232074193737655,0.5,6.18178041737419,0.7674603174603174,-0.6256535981015978
5,104.55618159625982,104.38900126967881,0.285429866409332,0.13863768153949765,0.799384148944494,1.1193850919982,0.010612792088606217,0.7986454575029336,0.9372831392982924,175.90515194681862,-0.0034528890661801536,0.049209278970346784,-0.05343826375994885,0.4694336927036458,0.5123015873015874,4.813290020486319,0.7579365079365079,-0.41739662006259326
6,91.02951520882748,90.85338553528528,0.25665567991248256,0.15046448545731805,0.7986068505741032,1.1318622370062492,0.009791577889696835,0.7981380165910024,0.9486025023551004,318.5119725953059,0.0070118492353317945,0.06644250688132892,0.1250385088607859,0.5615110497792046,0.5234126984126984,5.238694656764996,0.903968253968254,-0.4659106724188611
7,101.55828346988639,100.83521278701924,0.3688790682564817,0.6861827533843147,0.24383300171689617,1.2229107447402112,0.008549115837577111,0.24358636196281683,0.929769114067627,157.10025776692444,0.0008324903794391972,-0.04166393387150386,0.01282783096745975,-0.34946767496111797,0.46111111111111114,3.725461270936035,1.1277777777777778,-0.9459076979786878
8,58.41923518140574,58.12543112973909,0.20684592653242115,0.2731198821946777,0.6697148326064845,1.1397687871848046,0.00863384697856643,0.6695130530987348,0.9426329377384202,160.4616571699905,0.007247816355976204,0.047705330379183085,0.12470186301153462,0.3806232789644201,0.5162698412698412,5.075980154534082,0.2833333333333334,-0.6199195347199847
9,30.383701985832808,29.59695999267939,1.1910194296100354,0.6676401481032371,0.25510280635825144,1.103979964789769,0.010560439936271412,0.2549608502168249,0.9226010001591733,59.44466914258581,-0.004593593213587509,0.012635461492491921,-0.06996771897152503,0.10302366974811158,0.49246031746031743,6.533428180189811,0.7833333333333333,-0.4897386090394321
10,37.376864432724744,36.68202428853995,0.36035580921892985,0.6588043940882827,0.25435553967909075,1.202545546098061,0.010032846706125878,0.25424322598638366,0.9130476218623084,11.800039852123186,0.024588070701026105,0.05085059022987068,0.26212116650853107,0.4195693496481868,0.5174603174603175,5.349627231509391,0.3976190476190476,-0.35722106980598967
11,26.058002089084805,25.785034911334513,0.1299168630616387,0.2599755378288997,0.6552510378653134,1.1625122161783015,0.009652107319499758,0.6551565243304367,0.9151320624794509,23.205276590693256,0.009653159583155308,0.04416495359901759,0.1440288230799705,0.35860395625352753,0.5214285714285715,4.86998551284458,0.3388888888888889,-0.4040151490024019
12,13.04284702789139,12.764136974674624,0.10763517200846125,0.2679465307879287,0.6404562788676917,1.212197554489851,0.009241997466573311,0.6403724257039826,0.9083189559345309,15.077132936507937,0.011214107363962438,0.04055715458140936,0.17540344153578194,0.3196737073977045,0.5111111111111112,3.8213422156381873,0.27380952380952384,-0.5046384113939129
13,11.593636263665315,11.337533637961826,0.10483429364583179,0.2456191224524298,0.6353348049816593,1.1952935132569098,0.007306286237319278,0.6352581795816417,0.8808773029192879,40.01880681047348,0.003491362675267307,0.028604960029075067,0.053610231556583426,0.21822879840020984,0.5154761904761906,3.6758761646831615,0.2833333333333334,-0.5924282162647809
14,10.761447749186207,10.087570984943493,0.11797972258646042,0.6620787648345671,0.2340468072169584,1.0856982579175642,0.008901497835097095,0.23397875879919205,0.8960575247749787,9.662816061253562,0.008903665217424077,0.03557150424231765,0.15291764806095412,0.2907077446983218,0.5142857142857143,3.5500384625343218,0.24206349206349206,-0.6508659609130362
15,9.168007837235928,8.390839537897625,0.12401874910008062,0.7647664008863472,0.1086375767286951,1.2050918430789896,0.008107785141048488,0.10856818712786198,0.8733345868720396,3.804944260022385,0.013437355252106925,0.04399198522681969,0.16601048574746272,0.3637984423440122,0.5166666666666666,3.2787679127906713,0.223015873015873,-0.5597871367118857
16,9.652389412755902,8.901890995977698,0.17513465377489557,0.7329849588735079,0.10626735995418125,1.154308088222737,0.007567982263373934,0.10620265792048987,0.839187618282095,6.891089234839235,0.014333543746042801,0.05327008647109608,0.1962963602483808,0.42529954371762885,0.5174603174603174,4.059587621490741,0.20714285714285716,-0.554247490895245
17,9.884230054995498,9.87291488329301,0.08931391095188825,0.0023837278471202463,0.844376374162518,1.171996854991321,0.007656109337423705,0.8443123642047266,0.8466960917856242,4.196950040700041,0.0066252206030577585,0.045042648572882225,0.08161667539286555,0.38005810052101535,0.5317460317460317,3.618314509445832,0.5626984126984127,-0.6244686886676669
18,6.528965039913719,6.501887702458614,0.07709277750597009,0.019368080029616486,0.829470232024915,1.1635725033365445,0.0065229632159453255,0.8294079916470549,0.848776067813506,1.6065825691476734,0.03199477136740603,0.05154327619594553,0.3185956941534608,0.4053561416976842,0.5190476190476191,3.334006766940489,0.25793650793650796,-0.6045770366452115
19,7.42519432322399,6.868585391987015,0.1096242903030125,0.5456464292481542,0.30763699582053466,1.0889697053995047,0.004592046518364473,0.3075792887281036,0.8532257182775317,1.4874795704873829,0.034213204185622625,0.043410652095530036,0.33962160446878137,0.3313897651196061,0.5178571428571429,3.847826113249492,0.3785714285714286,-0.6745856308218696
20,6.849280063566324,6.623939981533064,0.08212787204711522,0.21712730454935417,0.6487500211848894,1.0885081502201384,0.009639318978956514,0.6486920421299469,0.8658193465271914,2.0744148309252477,0.023403091007843647,0.05919961237407262,0.27452138185046476,0.4699279713000005,0.5099206349206349,4.573892738934189,0.2817460317460318,-0.44330023360787674
21,6.767899568942753,6.574388045757203,0.09475178659667034,0.18403637769153794,0.659996707502331,1.1156066058047567,0.010354262062482175,0.6599374983095557,0.8439738759720647,1.9204738163071498,0.023082905663893986,0.04609437601862878,0.22224287258477377,0.3544910682791246,0.5111111111111111,4.345962443479492,0.22301587301587303,-0.5131096669939741
22,7.3418596350260685,6.738122730379975,0.5298257488014831,0.5507543299800238,0.2666994241434913,1.0340338293267481,0.007627753122323891,0.26664508444611623,0.8173994137679,4.085665636446887,0.024388947434733486,0.04752577958923483,0.3194432930088748,0.3947715493120606,0.5246031746031745,3.811735039965479,0.19603174603174606,-0.4734089663067004
23,6.6005463347644415,5.885376489001351,0.25833570109932,0.6893363025542852,0.11972531851710524,1.0679931788205552,0.006148113299073488,0.11966938393830946,0.8090056871340887,1.3201539129273505,0.04048790772703203,0.04748621251597925,0.33116109529031346,0.3767983779824489,0.5134920634920636,3.6706395319243317,0.21984126984126987,-0.6105843307599829
24,4.161499215461112,3.808373075925015,0.06339005041187881,0.3467871350815167,0.48894795996230356,1.0192597570874542,0.006060618482738663,0.48889476996142667,0.8356819047819118,2.3916748278727447,0.009913121805201007,0.01691481340440162,0.11666241710238782,0.1398236578773769,0.5107142857142857,4.0174610769226335,0.6865079365079365,-0.5978031056198728
