epoch,train_loss,train_reg_loss,train_rank_loss,train_net_loss,train_soft_gross,train_soft_turnover,train_soft_net,train_soft_concentration,valid_mse,valid_IC,valid_RIC,valid_ICIR,valid_RICIR,valid_prec_10,valid_top5_net_sharpe,valid_top5_avg_turnover,valid_top5_mdd
1,0.04513532335742541,0.04715328848168782,0.0008343286040267354,-0.0021013979757618794,0.00260825457174891,0.4889422655302827,0.002119312286211769,0.17914291194945298,0.0026481476663670644,0.01682393131039171,0.010525808466161779,0.18723055559305612,0.11013946183992009,0.5119047619047619,1.0096671321886581,0.8722222222222222,-0.2465217424144467
2,0.0008425763767288142,0.003334354470496544,0.00043928236028059967,-0.002535706346748771,0.0028702180046353974,0.3228280581459576,0.002547389922879243,0.1168355252631512,0.003155144942634631,0.019801217774826713,0.014040233452374292,0.20976774184324462,0.14280601184696343,0.5281746031746031,1.2103672797046616,0.7801587301587303,-0.217542063592296
3,-0.0008961183955024525,0.004429603071656783,0.0004989618690553864,-0.005375617654917855,0.0059297361983201855,0.5318012841324109,0.005397934876020519,0.22317218341993647,0.004581499685246889,0.02759151697531671,0.022163151506254457,0.2957160043835568,0.2231404459177742,0.519047619047619,1.171529617847243,0.8626984126984126,-0.18868337306668592
4,-0.0036844292611538155,0.004618687349893908,0.0004949634233796402,-0.008352612925876668,0.009063587376884834,0.6815267995725143,0.008382060502712242,0.29447570657813793,0.007304805147809669,0.02744880640448178,0.021015895033431098,0.2858567196910305,0.1889656991860289,0.5119047619047619,2.2104334702450807,0.684920634920635,-0.23312372801222314
5,-0.008096873328385473,0.0043920310889056105,0.00045949505833591133,-0.012534853921804185,0.01332688372048496,0.7589764471279449,0.012567907190001476,0.33053317867153376,0.0043977280564805755,0.012315007996231711,0.01155108833450144,0.13738189949794913,0.11469033523012746,0.5087301587301587,1.1161891211708432,1.003968253968254,-0.3463901331340886
6,-0.009954394033568835,0.004754080861410428,0.00045832579521260956,-0.014754307505861132,0.015591093900965879,0.7955002775679605,0.01479559358411132,0.4128609665463414,0.0070493381365372915,0.017676642892686733,0.014723223121288324,0.1844151697489223,0.12984098623598125,0.5091269841269841,1.4273074786192197,0.723015873015873,-0.16596906722614413
7,-0.01322721608338651,0.004975796494997937,0.0004605344404243059,-0.01824906602717395,0.019262961524345975,0.9715402748317139,0.018291421152866246,0.4235511985369895,0.00616201109081267,0.020452081338527776,0.01915311975983794,0.2036139463666784,0.17048635798113002,0.503968253968254,1.208540831115049,0.9198412698412699,-0.20872533293106088
8,-0.013887453309851824,0.005551989357666792,0.00048466523135052615,-0.01948790916313875,0.02062675886160734,1.0932148450938524,0.019533543937254885,0.45634777541225147,0.008257671010373327,0.026740582735610457,0.02247201469821133,0.249946392747486,0.19134284628298434,0.5051587301587301,1.5968473016123832,0.9150793650793652,-0.21179243153991767
9,-0.018075066471057062,0.0054952117494886385,0.0004676194313278019,-0.02361704016868955,0.024829034389094395,1.1602087103751706,0.02366882568904485,0.5178547929733287,0.009088411344601406,0.023988341628441,0.021783691974179727,0.2410802435602293,0.18304070991002117,0.5011904761904762,1.1210666497441204,0.9579365079365081,-0.17591085468175782
10,-0.02219960948395719,0.005297236950640139,0.00043631672003381964,-0.02754047816609801,0.028842056126892647,1.2444075053031214,0.027597648531042757,0.5717031242071047,0.006716865026573059,0.023204817290051177,0.0237390135293528,0.2264584331825012,0.19763622298023958,0.4968253968253968,0.9692237092971685,0.9166666666666669,-0.2944580823136195
11,-0.024966822375977613,0.005505293667335315,0.0004342783273927666,-0.030515543958358034,0.03184727313552709,1.2725350911099695,0.030574737968532103,0.5919393664645975,0.004192202340493408,0.014422483392678955,0.011537057052094348,0.15192906794269084,0.10571746292554438,0.4976190476190476,0.23683879322159498,1.1325396825396825,-0.30966044209983357
12,-0.02750958494112097,0.005391748438155077,0.00042342421350170025,-0.03294367575309553,0.03432871127468978,1.32345668827997,0.03300525439017046,0.6157859923371517,0.005360336658032382,0.017287691237159116,0.018456102816792257,0.18480659309668904,0.16303380774359286,0.5071428571428571,0.8047259198621175,1.1071428571428572,-0.22940868022690553
13,-0.031429407539434503,0.005261875524317745,0.0004131195582984317,-0.03673259508420439,0.03817173115588884,1.3719215258964217,0.03679980959733822,0.6721448091415663,0.005934704631684025,0.02595634294505614,0.026715320485579303,0.26325004730359747,0.23069137031219183,0.5,1.1152778707017255,1.0753968253968254,-0.17864575910449365
14,-0.034855208361625194,0.005270923153855964,0.00039385316784908944,-0.04016551681023073,0.041667661526479285,1.429424286343593,0.04023823723731078,0.727203005092766,0.005128928995116269,0.024783584738182738,0.022878833486294103,0.2634437337829308,0.1999156836380262,0.5111111111111112,0.8383400644746543,1.0690476190476192,-0.21786948167645337
15,-0.036708922314180714,0.005238090164808406,0.00038835065255674685,-0.04198584753368679,0.04348691035426315,1.427205297479199,0.042059704932152935,0.7385725584277582,0.004988570341075147,0.020417675235595276,0.022870382945390556,0.2273336624849996,0.20056537262464072,0.5178571428571429,0.8891913595022806,0.9373015873015873,-0.21042789373691584
16,-0.039119527070481025,0.005346665248853733,0.00039347717469649364,-0.044505540054799626,0.04604244349321635,1.4577935188338687,0.04458464995935887,0.7910991547168296,0.005740574797762292,0.01971129253065538,0.02121036706945701,0.2197718639731007,0.18921857858294505,0.5027777777777779,1.2291187492479807,0.9976190476190477,-0.20713408175853787
17,-0.041199820394772484,0.005044433409883011,0.00037088791219945494,-0.046281342482413765,0.047827585779541056,1.4668986520807568,0.04636068708283789,0.7934442525027898,0.0032383268849361085,0.020212803069353216,0.026412206409603324,0.2309403192609032,0.23790383906244694,0.4944444444444444,0.5478223229586626,1.0055555555555555,-0.1967583805280373
18,-0.042619194677949106,0.004909885966854573,0.00036650834397831305,-0.04756573146119449,0.049136973541592584,1.488578535882048,0.04764839505103835,0.8266348382580799,0.004097633322100274,0.019712086484459268,0.019534800557365936,0.21947606152903854,0.17799404544438324,0.5023809523809524,0.8285768339599617,1.1817460317460318,-0.209031222327983
19,-0.0433777913068912,0.005067705172523101,0.0003649534948832494,-0.048481991784007514,0.050048586082144735,1.4833478433320522,0.0485652380873059,0.8324626556641699,0.0035331318470682507,0.015977537314828164,0.022821964365923795,0.17927132180765554,0.20719511373013122,0.4964285714285714,0.9237125856910052,0.9817460317460319,-0.23793549805774683
