metric,n,mean,std,median,min,max
valid_backtest_softmax_gross_mean_daily,10,0.0965300911379767,0.022279711554286985,0.0947270766192913,0.06181652201414707,0.13325483213797026
valid_backtest_softmax_net_mean_daily,10,0.09542645472296693,0.02215533085299369,0.09371641185078824,0.06109063978258708,0.13193757742528978
valid_backtest_softmax_gross_sharpe,10,4.444119328073297,0.3744348208389859,4.454513064689872,3.711185640776589,5.035394738306608
valid_backtest_softmax_net_sharpe,10,4.395632983860443,0.37658217445929654,4.4000073989338855,3.6531233000555576,4.9789983117854675
valid_backtest_softmax_net_sortino,10,16.82542845633731,4.515285249931064,17.057403044015047,10.594393146128267,25.599623971866404
valid_backtest_softmax_net_ann_return,10,59880257.73656131,130797182.71741584,5577047.371292116,25804.053368790275,407935158.6830058
valid_backtest_softmax_max_drawdown,10,-0.6981742830913181,0.07124783357224078,-0.7299325782878354,-0.788242054055949,-0.5477357499019819
valid_backtest_softmax_calmar,10,89894762.74384333,204837674.53945798,9178497.395349607,34875.18306567086,648497113.0626653
valid_backtest_softmax_avg_turnover,10,0.7357576100065046,0.24536288053873903,0.6955408721387202,0.4839214877066589,1.313745613849146
valid_backtest_softmax_median_turnover,10,0.49355437935717605,0.5472862009446667,0.41892310997795384,0.004229797527879776,1.8434744820599143
valid_backtest_softmax_avg_holdings,10,47.91111111111111,32.31467004279642,46.18849206349206,3.5436507936507935,109.46031746031746
valid_backtest_softmax_final_equity,10,59880258.73656131,130797182.71741584,5577048.371292116,25805.053368790275,407935159.6830058
valid_backtest_top5_gross_mean_daily,10,0.06550367107785801,0.04749429682409492,0.060757035547635854,0.023079560293716363,0.1915981488491092
valid_backtest_top5_net_mean_daily,10,0.06487200441119137,0.04714119517498058,0.06021092030949203,0.022873607912763983,0.19006124408720443
valid_backtest_top5_gross_sharpe,10,4.539002007194037,1.2933231982281843,4.5381180728570705,2.4311306964251154,6.367439173216711
valid_backtest_top5_net_sharpe,10,4.494085367086393,1.2816505812109387,4.508950131569827,2.4116154378013883,6.305439850060835
valid_backtest_top5_net_sortino,10,18.127313846455216,12.866344561798018,17.441134807474896,5.9466033003089285,51.94115966404881
valid_backtest_top5_net_ann_return,10,1289714888.2877126,4077064134.466614,129319.9896956851,45.92777135063497,12893242554.7004
valid_backtest_top5_max_drawdown,10,-0.5489047985728407,0.07106207125549394,-0.548369194530524,-0.6525028038014467,-0.40720249945616616
valid_backtest_top5_calmar,10,2495112346.6059465,7887652333.309506,233923.98330784467,71.66793194738256,24943763963.06421
valid_backtest_top5_avg_turnover,10,0.4211111111111111,0.26602320115247907,0.4031746031746032,0.1373015873015873,1.0246031746031747
valid_backtest_top5_median_turnover,10,0.35,0.3240370349203931,0.4,0.0,1.1
valid_backtest_top5_avg_holdings,10,5.0,0.0,5.0,5.0,5.0
valid_backtest_top5_final_equity,10,1289714889.2877126,4077064134.466614,129320.9896956851,46.92777135063497,12893242555.7004
valid_backtest_top10_gross_mean_daily,10,0.05070258545221422,0.025503494258440854,0.04568889645327198,0.02928914410427059,0.11724455412818681
valid_backtest_top10_net_mean_daily,10,0.050158418785547554,0.025158834983369585,0.04534365835803389,0.02900462029474677,0.11576241127104392
valid_backtest_top10_gross_sharpe,10,5.350000302875691,1.0948463530397703,5.462439574601056,2.9260377454836592,6.977602566993166
valid_backtest_top10_net_sharpe,10,5.296039964498332,1.085452545291465,5.422029632780292,2.888886707702187,6.904891935629793
