metrics_path,run_dir,valid_backtest_softmax_gross_mean_daily,valid_backtest_softmax_net_mean_daily,valid_backtest_softmax_gross_sharpe,valid_backtest_softmax_net_sharpe,valid_backtest_softmax_net_sortino,valid_backtest_softmax_net_ann_return,valid_backtest_softmax_max_drawdown,valid_backtest_softmax_calmar,valid_backtest_softmax_avg_turnover,valid_backtest_softmax_median_turnover,valid_backtest_softmax_avg_holdings,valid_backtest_softmax_final_equity,valid_backtest_top5_gross_mean_daily,valid_backtest_top5_net_mean_daily,valid_backtest_top5_gross_sharpe,valid_backtest_top5_net_sharpe,valid_backtest_top5_net_sortino,valid_backtest_top5_net_ann_return,valid_backtest_top5_max_drawdown,valid_backtest_top5_calmar,valid_backtest_top5_avg_turnover,valid_backtest_top5_median_turnover,valid_backtest_top5_avg_holdings,valid_backtest_top5_final_equity,valid_backtest_top10_gross_mean_daily,valid_backtest_top10_net_mean_daily,valid_backtest_top10_gross_sharpe,valid_backtest_top10_net_sharpe,valid_backtest_top10_net_sortino,valid_backtest_top10_net_ann_return,valid_backtest_top10_max_drawdown,valid_backtest_top10_calmar,valid_backtest_top10_avg_turnover,valid_backtest_top10_median_turnover,valid_backtest_top10_avg_holdings,valid_backtest_top10_final_equity,test_backtest_softmax_gross_mean_daily,test_backtest_softmax_net_mean_daily,test_backtest_softmax_gross_sharpe,test_backtest_softmax_net_sharpe,test_backtest_softmax_net_sortino,test_backtest_softmax_net_ann_return,test_backtest_softmax_max_drawdown,test_backtest_softmax_calmar,test_backtest_softmax_avg_turnover,test_backtest_softmax_median_turnover,test_backtest_softmax_avg_holdings,test_backtest_softmax_final_equity,test_backtest_top5_gross_mean_daily,test_backtest_top5_net_mean_daily,test_backtest_top5_gross_sharpe,test_backtest_top5_net_sharpe,test_backtest_top5_net_sortino,test_backtest_top5_net_ann_return,test_backtest_top5_max_drawdown,test_backtest_top5_calmar,test_backtest_top5_avg_turnover,test_backtest_top5_median_turnover,test_backtest_top5_avg_holdings,test_backtest_top5_final_equity,test_backtest_top10_gross_mean_daily,test_backtest_top10_net_mean_daily,test_backtest_top10_gross_sharpe,test_backtest_top10_net_sharpe,test_backtest_top10_net_sortino,test_backtest_top10_net_ann_return,test_backtest_top10_max_drawdown,test_backtest_top10_calmar,test_backtest_top10_avg_turnover,test_backtest_top10_median_turnover,test_backtest_top10_avg_holdings,test_backtest_top10_final_equity,valid_prediction_metrics_mse,valid_prediction_metrics_IC,valid_prediction_metrics_RIC,valid_prediction_metrics_ICIR,valid_prediction_metrics_RICIR,valid_prediction_metrics_prec_10,test_prediction_metrics_mse,test_prediction_metrics_IC,test_prediction_metrics_RIC,test_prediction_metrics_ICIR,test_prediction_metrics_RICIR,test_prediction_metrics_prec_10
results/crypto_tc_v2/crypto_dynamic_both_10seed\seed0_seed0\metrics.json,results/crypto_tc_v2/crypto_dynamic_both_10seed\seed0_seed0,0.06181652201414707,0.06109063978258708,4.212601257836606,4.16721754851816,10.594393146128267,25804.053368790275,-0.7398972879989105,34875.18306567086,0.4839214877066589,0.004229797527879776,3.5436507936507935,25805.053368790275,0.033354505598741986,0.033096172265408653,3.9955165332832934,3.9658813011308256,9.71595974567944,582.9978290288612,-0.49751835869943684,1171.8116906312855,0.17222222222222225,0.0,5.0,583.9978290288612,0.03360617308618448,0.03334307784808925,5.360219172061861,5.320167249938934,10.241005237749274,1256.3216042951603,-0.47373290986849637,2651.961850489237,0.1753968253968254,0.2,10.0,1257.3216042951603,0.019397076235127476,0.018738071272453017,3.3054190892286996,3.1829492229179883,7.8017907372707285,39.56489277966672,-0.16578601114441982,238.65036927007205,0.43933664178297555,0.18446399837728888,5.037037037037037,1.4869686808504061,-0.008591567190510598,-0.008647122746066153,-2.7060843203140363,-2.7165034071822833,-4.126711653676038,-0.9192999225326293,-0.2155959709733104,-4.26399398086233,0.037037037037037035,0.0,5.0,0.7636236176504475,0.007937662659781014,0.007770995993114347,1.7680807172309345,1.7293462398359871,4.402954180461347,2.906199101337445,-0.19708739746068893,14.745737874499916,0.11111111111111113,0.0,10.0,1.1571835586904742,2.3164497057726225,0.03142108388723346,0.047509722131027304,0.33815486262672023,0.3755416029334941,0.5226190476190476,3.3118517405626773,-0.0008285237249968061,0.012958919245296475,-0.010110189781450911,0.08925262410623433,0.4333333333333333
results/crypto_tc_v2/crypto_dynamic_both_10seed\seed1_seed1\metrics.json,results/crypto_tc_v2/crypto_dynamic_both_10seed\seed1_seed1,0.12455282667459548,0.12353843521373499,4.7671440786485055,4.731497347772596,21.23145834597207,151627624.87844044,-0.788242054055949,192361754.99396232,0.6762609739069918,0.07642570141456345,28.66269841269841,151627625.87844044,0.05860391140749203,0.05811224474082537,5.915802772135777,5.869252100298217,18.76859061275246,131653.02360407478,-0.5371748840491317,245084.10112448278,0.3277777777777778,0.4,5.0,131654.02360407478,0.03707700011556216,0.03681866678222884,5.463469386491237,5.426032981895046,12.584485013064857,2494.048512931767,-0.4149212552858941,6010.895998102765,0.17222222222222222,0.2,10.0,2495.048512931767,0.04154129252341622,0.041309725853846804,2.981927981991314,2.9638132597568916,5.455995657142145,92.88808792702775,-0.3825554845891851,242.80945292559247,0.15437777971294586,4.992178419272466e-06,3.6666666666666665,1.6268635333386317,0.0002636409767782657,0.00020808542122271008,0.05500752393761265,0.04336048062805458,0.0802332782502717,-0.48922429249238664,-0.18918587357716898,-2.5859451513976066,0.037037037037037035,0.0,5.0,0.9305483719744119,0.011910506091455183,0.011743839424788516,2.425010057414991,2.3879604106974934,6.282801711823139,8.289111205145197,-0.16964918652087013,48.86030623009569,0.11111111111111113,0.0,10.0,1.2697303992260012,1.2074144027269027,0.03924185283541557,0.05716545187929573,0.287675945089198,0.4650120140269826,0.5111111111111111,1.2515050315072014,0.03699949398602381,0.018341389783846543,0.26290473954591015,0.14108015436374644,0.44814814814814813
results/crypto_tc_v2/crypto_dynamic_both_10seed\seed2_seed2\metrics.json,results/crypto_tc_v2/crypto_dynamic_both_10seed\seed2_seed2,0.08922141463541058,0.08814918347985491,5.035394738306608,4.9789983117854675,17.536078880152033,5154835.906728776,-0.5477357499019819,9411173.011149684,0.7148207703704486,0.6402917611358361,109.46031746031746,5154836.906728776,0.0655743592998295,0.06485650215697236,6.367439173216711,6.305439850060835,19.134548478552908,571327.8131441612,-0.40720249945616616,1403055.7619508412,0.4785714285714286,0.4,5.0,571328.8131441612,0.05098963775992652,0.05040273299802176,6.977602566993166,6.904891935629793,16.374104136492882,55784.7058002742,-0.40183294530670177,138825.61510121403,0.3912698412698413,0.2,10.0,55785.7058002742,0.009355416622957453,0.008784552467245266,2.0436671452295996,1.9167523776391708,4.44420135265362,3.987409658072165,-0.1848971822307195,21.565551242825357,0.3805761038081208,0.27187622082343454,116.0,1.1878793315841143,-0.001752113282930588,-0.0019410021718194762,-0.4529665106105346,-0.5016880428196231,-0.8993134580598995,-0.6150213403360762,-0.21559597097322303,-2.852656928406186,0.1259259259259259,0.0,5.0,0.9027811841049089,0.016966407333637582,0.016677518444748695,3.503826884952375,3.440731457490555,10.240323059539984,31.47739833942463,-0.14136998945926926,222.65969219917827,0.19259259259259262,0.2,10.0,1.4519616042252597,3.1309020358499526,0.019616114396339025,0.06106110235272173,0.2797980889925157,0.5362336916495294,0.5265873015873015,5.508246527777776,-0.0022036434302196866,0.019905286699234526,-0.03416931240208512,0.15147137890332418,0.4481481481481481
results/crypto_tc_v2/crypto_dynamic_both_10seed\seed3_seed3\metrics.json,results/crypto_tc_v2/crypto_dynamic_both_10seed\seed3_seed3,0.09803422637319213,0.0969036515029611,4.555053046504917,4.5049253695824385,17.94975322237721,5999258.835855455,-0.6706213228572284,8945821.779549528,0.7537165801540207,0.5353381685461431,75.26190476190476,5999259.835855455,0.03770438861074148,0.03695081718217005,4.101518850259601,4.018289147842416,9.170104199226822,985.6009152665057,-0.6525028038014467,1510.492996387045,0.5023809523809524,0.4,5.0,986.6009152665057,0.03312037069316223,0.032556084978876514,4.980856654529935,4.8934680494964296,8.864188851505503,870.7800690189409,-0.523252763699397,1664.167166286637,0.37619047619047624,0.2,10.0,871.7800690189409,0.0423395386148715,0.041195646592793594,3.844246743769134,3.7524668358647912,6.991927794696678,869.2273147574954,-0.38249975963955185,2272.491139796632,0.7625946813852633,0.3643480768183913,115.70370370370371,2.065193015497975,-0.0032330065605627313,-0.004421895449451621,-0.7616372513671784,-1.0434062231512546,-1.7746998643427994,-0.8163928091623167,-0.2082477794149531,-3.920295387792144,0.7925925925925925,0.8,5.0,0.8339327655740997,-0.0030970953214111644,-0.003985984210300053,-0.9220739516518073,-1.1873708428235112,-2.0565382282538347,-0.744133816639262,-0.22386080178698897,-3.3240916261168674,0.5925925925925926,0.6000000000000001,10.0,0.8641175184017094,3.548156150369692,0.018728045732013244,0.04547667122713722,0.22512396858968725,0.40427994495353803,0.517063492063492,21.383640986071537,-0.009914863320524804,-0.027104951706093037,-0.15686534516995512,-0.22650464097144538,0.4222222222222222
results/crypto_tc_v2/crypto_dynamic_both_10seed\seed4_seed4\metrics.json,results/crypto_tc_v2/crypto_dynamic_both_10seed\seed4_seed4,0.10833405552660029,0.10759916731101703,4.447621020111639,4.421152264364886,18.827270568616935,17385899.074831817,-0.7199678685767602,24148159.70770514,0.489925477055501,0.02436798821200932,14.15079365079365,17385900.074831817,0.06291015968777967,0.06253515968777967,4.80598716599627,4.777589708994119,16.60264008748401,126986.9557872954,-0.5611856657958869,226283.32034634775,0.25,0.4,5.0,126987.9557872954,0.04964962374560422,0.04931629041227089,5.4775463691006925,5.440987705441759,13.469368316306634,23128.896679528913,-0.48637511322833404,47553.61869969537,0.2222222222222222,0.2,10.0,23129.896679528913,0.019883281993958817,0.018994603154252655,3.6879179620129006,3.5112272081109097,10.232233236051854,50.35650412943526,-0.14723256966895693,342.0201402605187,0.5924525598041097,0.39286406503105303,6.888888888888889,1.525028936685813,-0.001156394367313218,-0.0015897277006465527,-0.3416713123329972,-0.4689111504928717,-0.7604553437552176,-0.5355551464416357,-0.17992905806126613,-2.976479464791628,0.2888888888888889,0.4,5.0,0.9211161008984727,0.009048083789093652,0.008825861566871429,1.9495073696534095,1.9001725464109247,4.6502928848858405,3.877033058800545,-0.19396764172956327,19.988040397923985,0.14814814814814814,0.2,10.0,1.1850344280177771,5.923759496676164,0.02657002945008768,0.05169099997347575,0.33897204585687635,0.42214679501509117,0.5261904761904762,18.07215866373852,-0.007403599170963319,0.005657521375701735,-0.1043593912544963,0.04096906166961637,0.44074074074074077
results/crypto_tc_v2/crypto_dynamic_both_10seed\seed5_seed5\metrics.json,results/crypto_tc_v2/crypto_dynamic_both_10seed\seed5_seed5,0.07244108616298146,0.07156069186871264,4.111338489792279,4.0638255706484685,11.54425017549743,77910.95329729612,-0.7424181992625224,104942.138237699,0.5869295295125522,0.1633699138226461,24.194444444444443,77911.95329729612,0.023079560293716363,0.022873607912763983,2.7915742134010992,2.7670208880490934,5.9466033003089285,45.92777135063497,-0.6408413093918035,71.66793194738256,0.1373015873015873,0.0,5.0,46.92777135063497,0.02928914410427059,0.02900462029474677,4.504756557900852,4.462306893961115,8.068584556141264,388.6589769044367,-0.5857798956680708,663.4897847774635,0.1896825396825397,0.2,10.0,389.6589769044367,0.02664483288484106,0.02559966529942206,4.146580860671011,3.9854325224265685,13.390363479703346,192.8630980151956,-0.16529492235791754,1166.781745396977,0.6967783902793293,0.4543592021692764,10.555555555555555,1.7582829546291665,0.005009968848510956,0.004554413292955402,1.1856635061911807,1.0754935703908592,1.947110665502225,0.7930396807939029,-0.13775833476574684,5.756745551089028,0.30370370370370375,0.4,5.0,1.064560496727289,0.011037524369371735,0.010915302147149517,2.2398987722742154,2.21242536273929,5.622155960142369,6.515105752405647,-0.16845645847202095,38.67530999679107,0.08148148148148149,0.0,10.0,1.2412240699946457,1.5156045969848053,0.03512371766307425,0.0590285484732038,0.3378635930986829,0.4770433080828143,0.5178571428571429,1.0582958968918168,0.025849190262924263,0.01733978798816525,0.2518129413467693,0.12786545431952967,0.437037037037037
results/crypto_tc_v2/crypto_dynamic_both_10seed\seed6_seed6\metrics.json,results/crypto_tc_v2/crypto_dynamic_both_10seed\seed6_seed6,0.13325483213797026,0.13193757742528978,4.393436935718422,4.353000480663205,25.599623971866404,407935158.6830058,-0.6290469926007796,648497113.0626653,0.8781698084536583,0.7311242467072796,53.26190476190476,407935159.6830058,0.07772162937376308,0.07695615318328689,5.776995746198779,5.720697335342497,19.923544710129487,2930053.5706645316,-0.5595635050119163,5236319.996596092,0.5103174603174603,0.4,5.0,2930054.5706645316,0.059923180096607145,0.05935532295375,6.093350068485741,6.036661153557423,16.579825321586096,192597.37925737532,-0.48449304777416624,397523.51481987006,0.3785714285714286,0.2,10.0,192598.37925737532,0.006331258064248605,0.0051339165402168084,1.207689159286326,0.9787643355032393,2.526908732074384,0.6833880320970149,-0.22058173083689936,3.09811709927701,0.7982276826878644,0.59658700233596,47.55555555555556,1.0573871424824226,0.015781274379912284,0.014970163268801172,2.410919218739934,2.2892791717055068,6.8491689624173375,12.48294339344434,-0.18185084450050848,68.64385715481674,0.5407407407407407,0.4,5.0,1.3214427784526002,0.009821095088409493,0.009209983977298383,2.1786346617866426,2.0412412671575333,4.671190778097571,4.530695349526433,-0.2096891190274519,21.606726045292223,0.4074074074074075,0.2,10.0,1.2011121031454706,10.321459308438476,0.022030874890879477,0.04377560938045672,0.31019973938908724,0.3570048198921475,0.5293650793650794,49.44888611902499,-0.0068080083512937406,0.008692022383842665,-0.10597747807064008,0.06479412005750126,0.437037037037037
results/crypto_tc_v2/crypto_dynamic_both_10seed\seed7_seed7\metrics.json,results/crypto_tc_v2/crypto_dynamic_both_10seed\seed7_seed7,0.09141992686539048,0.09052917219861538,4.746012963769302,4.7037271117107755,14.793289434023379,3402559.1863429784,-0.7428285037583338,4580544.727515412,0.5938364445167246,0.30250805140976456,39.11507936507937,3402560.1863429784,0.04128640416020063,0.04096854701734348,4.27024897971787,4.240310554145534,11.79035813890353,2339.9491525187536,-0.5268736094322388,4441.196352643002,0.2119047619047619,0.0,5.0,2340.9491525187536,0.04172816916093975,0.04137102630379689,5.461409762710876,5.4180262836655375,11.45473881085098,5508.227579112308,-0.46386550371123425,11874.62213730258,0.23809523809523808,0.2,10.0,5509.227579112308,0.01130633751747806,0.01064584017665523,2.242086682821556,2.1061168327700197,4.0543438867216155,5.881534695814961,-0.18460965920947947,31.85930097573731,0.44033156054855166,0.39449594276363675,10.88888888888889,1.2295664283901266,-0.006598547674689648,-0.006698547674689647,-1.9410800954243745,-1.9672042359415975,-3.1966569442876454,-0.8732086987223073,-0.21559597097327188,-4.050208799247513,0.06666666666666667,0.0,5.0,0.8014979982671646,0.010511285215114996,0.010322396326226106,2.3986416782959155,2.354976013272915,6.341327011192853,6.618850435291211,-0.1974280600357169,33.525378479939796,0.12592592592592594,0.0,10.0,1.243048732753512,22.739672364672366,0.010550883056832617,0.029635368746113236,0.14423446979786328,0.2291067707005196,0.5253968253968254,89.58626147515034,-0.011717840626944465,0.015360153289198155,-0.16754565896021145,0.1191112891507194,0.42962962962962964
results/crypto_tc_v2/crypto_dynamic_both_10seed\seed8_seed8\metrics.json,results/crypto_tc_v2/crypto_dynamic_both_10seed\seed8_seed8,0.08079030457117174,0.07949093044936272,3.711185640776589,3.6531233000555576,13.599439610861321,186562.5228897802,-0.7406579580314561,251887.55601219763,0.8662494145393458,0.614413682735724,59.42460317460318,186563.5228897802,0.06320364349720631,0.062309595878158694,4.933805941305861,4.864757347199003,18.279629527465783,142352.33785889455,-0.5892929286512063,241564.64626934158,0.5960317460317461,0.4,5.0,142353.33785889455,0.05439800163169836,0.05365395401265074,6.25475474499889,6.1689706836951,17.23031174099464,80889.47969286087,-0.4831904136038533,167407.0457842552,0.49603174603174616,0.4,10.0,80890.47969286087,-0.002432252772698234,-0.003598681353045048,-0.6758660067235697,-1.0028890818489846,-1.276902433677837,-0.7370823033557229,-0.29816451736069194,-2.4720657906507255,0.7776190535645424,7.890255180401374e-73,26.40740740740741,0.866638219204129,0.00463180032093078,0.0031984669875974457,1.178536215035866,0.8127996311442268,1.8108748026395831,0.37672215420920474,-0.19093846832904016,1.9730029129490791,0.9555555555555557,0.8,5.0,1.034847582395646,0.010307881019387559,0.009074547686054224,2.4201619504017673,2.1243818976096724,5.414000787832358,4.70412286356072,-0.17839628731653856,26.368950465810766,0.8222222222222223,0.8,10.0,1.2050920910790792,17.142717236467238,0.02140053321528628,0.04334424605323738,0.25321188812343143,0.37876494734193045,0.5242063492063492,22.15725902184235,0.006112697648663467,0.04210630640159786,0.07873391447902484,0.36818239208866776,0.4740740740740741
results/crypto_tc_v2/crypto_dynamic_both_10seed\seed9_seed9\metrics.json,results/crypto_tc_v2/crypto_dynamic_both_10seed\seed9_seed9,0.10543571641830755,0.10346509799753384,4.461405109268103,4.378862533502885,16.578727207878057,7006963.270852109,-0.6603268938692597,10611355.278570298,1.313745613849146,1.8434744820599143,72.03571428571429,7006964.270852109,0.1915981488491092,0.19006124408720443,2.4311306964251154,2.4116154378013883,51.94115966404881,12893242554.7004,-0.5168924214391736,24943763963.06421,1.0246031746031747,1.1,5.0,12893242555.7004,0.11724455412818681,0.11576241127104392,2.9260377454836592,2.888886707702187,39.4945915226836,67945174.164892,-0.5072018470739694,133960817.68379097,0.9880952380952381,1.0,10.0,67945175.164892,0.028505983242137607,0.02683805366076122,3.335585357401384,3.1393042854728104,6.161172210585922,99.43060820649333,-0.27240900442747895,365.0048514919736,1.1119530542509277,1.331603197359645,104.96296296296296,1.638647926585842,0.007859187698233181,0.006759187698233182,2.4371505340210717,2.0887751395249854,3.278801397183041,2.9299565652006225,-0.1363090948212552,21.494945506176514,0.7333333333333333,0.8,5.0,1.1579355882442115,0.0059757430841542655,0.004853520861932043,2.1422965835026635,1.7343190606098764,3.132923965298931,1.6485376221323977,-0.13104978543981105,12.579475934182003,0.7481481481481482,0.8,10.0,1.1099977210074634,94.94775980192647,0.010283205495201233,0.013989848112513104,0.14466063896324982,0.12157017519480587,0.503968253968254,698.0448717948716,-0.0024036573085394176,0.019068389492036618,-0.036010065854095066,0.16070794387770793,0.4592592592592593
