epoch,train_loss,train_reg_loss,train_rank_loss,train_net_loss,train_soft_gross,train_soft_turnover,train_soft_downside,train_soft_net,train_soft_concentration,valid_mse,valid_IC,valid_RIC,valid_ICIR,valid_RICIR,valid_prec_10,valid_softmax_net_sharpe,valid_softmax_avg_turnover,valid_softmax_mdd,valid_top5_net_sharpe,valid_top5_avg_turnover,valid_top5_mdd
1,70589.45057172517,70587.93605840496,6.13415381807985,0.9005770021999204,0.0953702812452727,1.4153831679496325,0.014899115943541326,0.09273349571276158,0.9933104981844489,831.2629222629223,-0.004054582191575165,-0.06981215492601837,-0.05143527148607146,-0.5932833541699314,0.457936507936508,1.473610931142125,1.4130178756846328,-0.7881211221280793,1.8452733523825955,1.2992063492063493,-0.8409993751062368
2,881.2420978652465,880.380889064718,1.3394949460452472,0.7272564406984964,0.24854825805014205,1.3413620040118839,0.015422513427662021,0.24846511087883963,0.975721551734652,101.86454517704517,0.009734872354009912,0.014871157580374895,0.11733064356501566,0.13766781702023265,0.503968253968254,2.0062797184993575,1.0923384173526935,-0.8777488483160474,2.3353521730255498,0.9150793650793652,-0.43275961106734373
3,194.3328229649647,193.98241755350216,0.404360100498574,0.3099691403199088,0.6353264886993876,1.1714515166665063,0.012341730479114674,0.635264500687745,0.9452336405554937,74.95112603445936,-0.005559231143203064,-0.0025449231696546555,-0.07626078090343759,-0.02512420110162958,0.49920634920634915,1.1921382069432842,1.3394745132854955,-0.6689117561900899,1.9488065488986592,1.2642857142857145,-0.46572446203974105
4,99.07916531039251,98.12648733926785,1.1186840221166259,0.8408094925780756,0.09668218014040791,1.27238555009924,0.010803255548348165,0.09661647005682253,0.9374259616676215,47.72345170261837,-0.004123402632234889,0.02015758365745728,-0.05140691927894927,0.1891246998558782,0.5071428571428571,2.11133752245828,0.8555119861161744,-0.7526793868267527,1.6665923867854675,0.7436507936507937,-0.4259161470626128
5,63.149697799537634,62.78655910419451,0.19723097284299296,0.34341624123421877,0.6168711550386519,1.1419081851638504,0.012057629451485667,0.616812493917914,0.96022873291041,8.31372736060236,0.017618084775770832,0.04315436795958512,0.22037021194861586,0.35407786410554215,0.5186507936507936,1.7027888760641108,1.091849179409382,-0.8270146103408872,1.9707757157580408,0.538888888888889,-0.5876279587079786
6,39.56939206840219,38.85883213917951,0.19868228250762096,0.6906915437228777,0.25310961243379787,1.2051792158676675,0.009431428812522165,0.2530481690597372,0.9437397146144428,9.634642941934608,0.021908190944531277,0.051444837927600566,0.27437914361411153,0.42274854382784904,0.5273809523809524,2.0356923525117296,0.8683458953045615,-0.9278015520832819,5.9462635292831845,0.4722222222222222,-0.6391066449646046
7,30.290101917611587,30.12266959080825,0.14440587672681823,0.15299184559970289,0.7863436812662662,1.0725597934084181,0.012189666374626118,0.786289584108254,0.9392814294158204,21.00484584859585,0.017079381824174386,0.05259465032192877,0.25400319285478107,0.42415713911572056,0.5234126984126984,1.7484657072752718,0.7988151953622307,-0.8065628455853893,1.4898250865565814,0.3357142857142857,-0.5450391917512295
8,24.078508329149837,23.379940998755597,0.33322115703485905,0.6652452665204938,0.25512650236126566,1.099069501518238,0.010355682748308496,0.2550711536498686,0.9203164206163303,4.502271359042193,0.010320644508235175,0.034258909127308466,0.11803040449791384,0.297014683129477,0.5174603174603176,2.1475114833517965,0.8646836065216059,-0.8182005155949621,5.1000126240228,0.6563492063492063,-0.36399431735978294
9,16.186267382550884,15.630494601863461,0.5579357185501705,0.4999791776912438,0.42055696446946816,1.1235646980570895,0.010860953149244386,0.42050040512372583,0.9204795830958599,8.669907831366165,0.013489368405237814,0.0563140849488658,0.19530745302564942,0.4400179667374137,0.5150793650793651,0.13739549071089768,0.043242882053934055,-0.7846121491662993,4.812438923882653,0.25,-0.5006523769996526
10,16.21907968815114,15.97214255655134,0.10254569351798981,0.236682631125724,0.6508194126870588,1.1451547217938058,0.00693799101784917,0.6507619532778482,0.8874445855441327,2.3128423466965136,0.0307762506611111,0.04233397242790855,0.31706517917421345,0.34468274964164175,0.5261904761904763,3.845063069853201,0.8224671395418507,-0.7232397874274128,4.8676004456203374,0.3579365079365079,-0.46380679718616047
11,10.685491450815588,9.837220220066406,0.5413550487643963,0.7941357173226975,0.09250251885049926,1.1078701447987827,0.007495038596799295,0.09244691771170807,0.8865826341348726,1.7170044823039614,0.036379857943864995,0.05323976576977004,0.39389578549110976,0.42594947854095977,0.5206349206349206,3.552903045509093,0.826190807044026,-0.7935641794160414,5.031031269754153,0.36904761904761907,-0.47385330201044573
12,7.834630421327578,7.565668096010749,0.0885374312654037,0.26010856944564226,0.6424732677548775,1.155014235048628,0.008412153246129886,0.642415357524287,0.902523925920596,4.384830013736264,0.028467606427661055,0.04917050748265111,0.31523004466457105,0.39057105226417504,0.5162698412698413,1.616724707625219,0.4401383403151007,-0.6332512298101488,4.475068311622363,0.27539682539682536,-0.3034060267425288
13,7.80171689459601,7.13807541164192,0.45088854942949036,0.6185525813014121,0.2620897869186884,1.150496636179733,0.007311549537466034,0.26203211362268286,0.8805846962070948,3.1356477241893908,0.03750483986066185,0.04931330724589371,0.4282069770087907,0.3921153572358905,0.5210317460317461,2.6354975040617714,0.5300849703961339,-0.5530907633708906,4.572312906347276,0.2531746031746032,-0.47479867869978354
14,8.15261326549021,7.779863787462583,0.09030153834940614,0.3637193419139933,0.5113172789214275,1.171838756951011,0.0069333692204359715,0.5112585714074032,0.874977913770724,6.058006037172704,0.026483605455025146,0.053971606511344444,0.3046175071434829,0.4522721967814304,0.5214285714285715,1.1358690199594013,0.13560705941960466,-0.8878048032933754,4.941436308034215,0.22142857142857145,-0.4744248404399163
